text,binary,multiclass
it'd be nice if missguided actually had stock for once������������,Hope,Sarcasm
Find me a mass shooting in Utah where concealed carry on campus is legal.,Not Hope,Sarcasm
"Oh, I LOVE semantics games Well, viability now is around 23-25 weeks gestation and really is based on weight more than age. Howeverm the past push towards heroic intervention is now tempered by the rather horrific disabilities and complications seen at the younger age",Not Hope,Sarcasm
"So your answer to the question then is ""Nothing"", Marc?",Not Hope,Sarcasm
"Clearly you don't give a damn, because if you did then you would have to admit that you were wrong. Does this mean that you think the introduction of speed limits is a bad idea? ",Not Hope,Sarcasm
Find me a mass shooting in Utah where concealed carry on campus is legal.,Hope,Sarcasm
"Why cant you drive a tank? Just go buy one surplus, replace the engine, buy some land to drive it on (the treads are real hard on the pavement). The only limiting factor is cost, so go right ahead and enjoy.",Not Hope,Sarcasm
" they can refuse any ceremony they want. That it has been \""open to all for years\"" carries no weight whatsoever. It is church property--which is essentially the same as a church saying it doesn't want gay ceremonies in its sanctuary which churches are free to refuse. Maybe churches are imposed upon in such ways in Canada  but not in the US.Given these matters  I'm not sure the HRC is being any more honest than the video they are responding to."" So then if I owned a business or a piece of property I could then refuse to sell or accommodate fundamentalist anti gay Christians and \That it has been \""open to all for years\"" carries no weight whatsoever.\"" It is my property and I don't like the immorality of fundamentalist anti gay Christians."" ",Not Hope,Sarcasm
"That's pretty funny.
What police state are you talking about?
The one where kids don't have to show their spontaneous gratitude to the state?
",Not Hope,Sarcasm
Who's ready for monsoon storms allllll weekend?!?!,Hope,Sarcasm
we used to make fun of rich men for using 3in1 turns out they were never using anything at all ����,Not Hope,Sarcasm
exactly. and you use this example to display how feminists are bad mothers. sarah effing palin...of all people...you pick the worst mother... is she even a feminist? she seems far too stupid. edit: just because a woman is serious about her career doesnt mean shes a feminist.,Not Hope,Sarcasm
god has emotions wow. that has got to be ridicules thing i heard in the old days you talked like that they would send you to a cuckoo farm. god loves you god hate s you etc etc etc. what a bunch of hog wash. what do people mean by that? you would think god sat down and had breakfast with you or something like that. emoticonxwow,Not Hope,Sarcasm
Whatever you sound like a goverment offical now why so many questions? huh what are you trying to get at? Ooaman or should I said Order of apostrophe man?,Not Hope,Sarcasm
